year;district_code;district_name;neighbourhood_code;neighbourhood_name;number
2022;8;Nou Barris;51;Verdun;416
2022;7;Horta-Guinardó;34;Can Baró;410
2022;7;Horta-Guinardó;36;la Font d'en Fargues;408
2022;8;Nou Barris;53;la Trinitat Nova;397
2022;8;Nou Barris;48;la Guineueta;389
2022;4;Les Corts;21;Pedralbes;388
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;387
2022;4;Les Corts;21;Pedralbes;371
2022;9;Sant Andreu;59;el Bon Pastor;369
2022;7;Horta-Guinardó;38;la Teixonera;365
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;362
2022;6;Gràcia;29;el Coll;353
2022;6;Gràcia;30;la Salut;347
2022;8;Nou Barris;47;Can Peguera;342
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;321
2022;9;Sant Andreu;58;Baró de Viver;305
2022;8;Nou Barris;49;Canyelles;304
2022;9;Sant Andreu;58;Baró de Viver;300
2022;8;Nou Barris;54;Torre Baró;297
2022;8;Nou Barris;54;Torre Baró;293
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;280
2022;8;Nou Barris;47;Can Peguera;265
2022;7;Horta-Guinardó;41;la Vall d'Hebron;260
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;255
2022;8;Nou Barris;53;la Trinitat Nova;254
2022;7;Horta-Guinardó;34;Can Baró;237
2022;7;Horta-Guinardó;36;la Font d'en Fargues;235
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;234
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;228
2022;6;Gràcia;29;el Coll;214
2022;8;Nou Barris;47;Can Peguera;196
2022;7;Horta-Guinardó;40;Montbau;196
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;187
2022;9;Sant Andreu;58;Baró de Viver;183
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;182
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;174
