layer_code;generic_layer;layer_name;ED50_X_coordinate;ED50_Y_coordinate;ETRS89_X_coordinate;ETRS89_Y_coordinate;longitude;latitude;equipment;district_code;neighbourhood_code;district_name;neighbourhood_name
K003;Transports i serveis relacionats;RENFE;431.586.499;4.582.785.247;431.494.557;4.582.584.307;2.180.575;41.391.875;RENFE - ARC DE TRIOMF-;2;5;Eixample;el Fort Pienc
K003;Transports i serveis relacionats;RENFE;422.565.576;4.573.165.776;422.473.714;4.572.964.928;2.073.913;41.304.419;RENFE - AEROPORT-;;;;
K003;Transports i serveis relacionats;RENFE;428.208.764;4.581.396.627;428.116.853;4.581.195.701;2.140.341;41.379.074;RENFE - SANTS ESTACIÓ-;3;18;Sants-Montjuïc;Sants
K011;Transports i serveis relacionats;Tramvia;432.120.222;4.583.868.972;432.028.275;4.583.668.022;2.186.836;41.401.681;TRAMVIA (T4, T5, T6) - GLÒRIES-;2;5;Eixample;el Fort Pienc
K004;Transports i serveis relacionats;Tren a l'aeroport;428.208.764;4.581.396.627;428.116.853;4.581.195.701;2.140.341;41.379.074;Tren AEROPORT - SANTS ESTACIÓ-;3;18;Sants-Montjuïc;Sants
K004;Transports i serveis relacionats;Tren a l'aeroport;424.033.841;4.576.123.885;423.941.967;4.575.923.009;209.108;41.331.201;Tren AEROPORT - PRAT DE LLOBREGAT-;;;;
K004;Transports i serveis relacionats;Tren a l'aeroport;422.565.576;4.573.165.776;422.473.714;4.572.964.928;2.073.913;41.304.419;Tren AEROPORT- AEROPORT-;;;;
K003;Transports i serveis relacionats;RENFE;431.641.551;4590527.36;431.549.611;4.590.326.349;2.180.357;4.146.161;RENFE - TORRE BARÓ-;8;54;Nou Barris;Torre Baró
K003;Transports i serveis relacionats;RENFE;430.660.853;4.582.367.011;430.568.919;4.582.166.075;2.169.552;41.388.029;RENFE - CATALUNYA-;2;7;Eixample;la Dreta de l'Eixample
K011;Transports i serveis relacionats;Tramvia;422.200.305;4.578.983.961;422.108.448;4.578.783.059;2.068.805;41.356.785;TRAMVIA (T1,T2) - CORNELLÀ CENTRE-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.067.161;4.584.455.775;428.975.243;4584254.82;2.150.247;41.406.702;Lesseps (Plaça Lesseps)-;6;31;Gràcia;la Vila de Gràcia
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.473.234;4.588.356.906;430.381.304;4.588.155.915;2.166.619;41.441.961;Canyelles (Via Favència)-;8;49;Nou Barris;Canyelles
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;425.036.585;4579092.13;424.944.702;4.578.891.226;2.102.695;41.358.029;Av. Carrilet (Avinguda Carrilet)-;;;;
