layer_code ;generic_layer;layer_name;ED50_X_coordinate;ED50_Y_coordinate;ETRS89_X_coordinate;ETRS89_Y_coordinate;longitude;latitude;equipment;district;neighborhood;district_name;neighborhood_name
K015;Transports i serveis relacionats;Autobusos nocturns;432474696;458862777;432382747;4588426776;2190545;41444571;NITBUS -N9--;9;60;Sant Andreu;Sant Andreu
K015;Transports i serveis relacionats;Autobusos nocturns;431833246;4587081605;431741303;4586880625;2183041;41430592;NITBUS -N3--;9;60;Sant Andreu;Sant Andreu
K014;Transports i serveis relacionats;Autobusos diürns;430947973;4588521063;430856038;458832007;2172282;4144348;BUS -11-60-D40--;8;51;Nou Barris;Verdun
K014;Transports i serveis relacionats;Autobusos diürns;433323779;4586437063;433231822;4586236089;220095;41424912;BUS -33-V31-136--;10;73;Sant Martí;la Verneda i la Pau
K014;Transports i serveis relacionats;Autobusos diürns;430377862;458367622;430285931;4583475272;2166017;41399796;BUS -39-47-H8--;2;7;Eixample;la Dreta de l'Eixample
K014;Transports i serveis relacionats;Autobusos diürns;43001954;4585161803;429927613;4584960842;2161558;41413145;BUS -39-114-V19-191--;6;30;Gràcia;la Salut
K014;Transports i serveis relacionats;Autobusos diürns;432769775;4583536916;432677822;4583335969;2194643;41398745;BUS -6-H14--;10;68;Sant Martí;el Poblenou
K014;Transports i serveis relacionats;Autobusos diürns;428766416;45843422;4286745;4584141247;2146663;41405653;BUS -H6--;5;27;Sarrià-Sant Gervasi;el Putxet i el Farró
K014;Transports i serveis relacionats;Autobusos diürns;430769469;4582192453;430677534;4581991519;2170871;41386466;BUS -55-H16-V15--;2;7;Eixample;la Dreta de l'Eixample
K014;Transports i serveis relacionats;Autobusos diürns;430046892;4583313238;429954964;4583112294;21621;41396498;BUS -39--;2;7;Eixample;la Dreta de l'Eixample
