year;trimester;district_name;neighbourhood_name;average _rent;price
2021;1;Ciutat Vella;la Barceloneta;average rent per surface (euro/m2);15. Mai
2021;1;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;average rent per surface (euro/m2);13. Mär
2021;1;Eixample;Fort Pienc;average rent per surface (euro/m2);12. Sep
2021;1;Eixample;la Sagrada Familia;average rent per surface (euro/m2);13. Mai
2021;1;Eixample;la Dreta de l'Eixample;average rent per surface (euro/m2);13
2021;1;Eixample;l'Antiga Esquerra de l'Eixample;average rent per surface (euro/m2);13. Jul
2021;1;Eixample;la Nova Esquerra de l'Eixample;average rent per surface (euro/m2);13. Jun
2021;1;Eixample;Sant Antoni;average rent per surface (euro/m2);12. Mai
2021;1;Sants-Montjuic;el Poble Sec;average rent per surface (euro/m2);13. Mai
2021;1;Sants-Montjuic;la Marina de Port;average rent per surface (euro/m2);11. Jun
2021;1;Sants-Montjuic;la Font de la Guatlla;average rent per surface (euro/m2);12. Jul
2021;1;Sants-Montjuic;Hostafrancs;average rent per surface (euro/m2);12. Sep
2021;1;Sants-Montjuic;la Bordeta;average rent per surface (euro/m2);12. Feb
2021;1;Sants-Montjuic;Sants - Badal;average rent per surface (euro/m2);13
2021;1;Sants-Montjuic;Sants;average rent per surface (euro/m2);13. Feb
2021;1;Les Corts;les Corts;average rent per surface (euro/m2);13. Aug
2021;1;Les Corts;la Maternitat i Sant Ramon;average rent per surface (euro/m2);12. Mai
2021;1;Les Corts;Pedralbes;average rent per surface (euro/m2);14
2021;1;Sarria-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;average rent per surface (euro/m2);15. Jul
2021;1;Sarria-Sant Gervasi;Sarria;average rent per surface (euro/m2);15. Jun
2021;1;Sarria-Sant Gervasi;les Tres Torres;average rent per surface (euro/m2);16
2021;1;Sarria-Sant Gervasi;Sant Gervasi - la Bonanova;average rent per surface (euro/m2);15. Feb
2021;1;Sarria-Sant Gervasi;Sant Gervasi - Galvany;average rent per surface (euro/m2);14. Mär
2021;1;Sarria-Sant Gervasi;el Putxet i el Farro;average rent per surface (euro/m2);14. Jan
2021;1;Gracia;Vallcarca i els Penitents;average rent per surface (euro/m2);13. Jun
2021;1;Gracia;el Coll;average rent per surface (euro/m2);12. Mai
2021;1;Gracia;la Salut;average rent per surface (euro/m2);12. Aug
2021;1;Gracia;la Vila de Gracia;average rent per surface (euro/m2);14. Feb
2021;1;Gracia;el Camp d'en Grassot i Gracia Nova;average rent per surface (euro/m2);13. Jun
2021;1;Horta-Guinardo;el Baix Guinardo;average rent per surface (euro/m2);12. Mär
2021;1;Horta-Guinardo;Can Baro;average rent per surface (euro/m2);12. Jul
2021;1;Horta-Guinardo;el Guinardo;average rent per surface (euro/m2);12. Mär
2021;1;Horta-Guinardo;la Font d'en Fargues;average rent per surface (euro/m2);12. Mär
2021;1;Horta-Guinardo;el Carmel;average rent per surface (euro/m2);11. Apr
2021;1;Horta-Guinardo;la Teixonera;average rent per surface (euro/m2);11. Aug
2021;1;Horta-Guinardo;Sant Genis dels Agudells;average rent per surface (euro/m2);10. Apr
2021;1;Horta-Guinardo;Montbau;average rent per surface (euro/m2);11. Feb
2021;1;Horta-Guinardo;la Vall d'Hebron;average rent per surface (euro/m2);11. Sep
2021;1;Horta-Guinardo;Horta;average rent per surface (euro/m2);11. Aug
2021;1;Nou Barris;Vilapicina i la Torre Llobeta;average rent per surface (euro/m2);11. Mär
2021;1;Nou Barris;Porta;average rent per surface (euro/m2);11. Mai
2021;1;Nou Barris;el Turo de la Peira;average rent per surface (euro/m2);11
2021;1;Nou Barris;la Guineueta;average rent per surface (euro/m2);09. Sep
2021;1;Nou Barris;Canyelles;average rent per surface (euro/m2);09. Mär
2021;1;Nou Barris;les Roquetes;average rent per surface (euro/m2);11. Jun
2021;1;Nou Barris;Verdun;average rent per surface (euro/m2);12. Mai
2021;1;Nou Barris;la Prosperitat;average rent per surface (euro/m2);11. Aug
2021;1;Nou Barris;la Trinitat Nova;average rent per surface (euro/m2);11. Mai
2021;1;Nou Barris;Ciutat Meridiana;average rent per surface (euro/m2);9
2021;1;Sant Andreu;la Trinitat Vella;average rent per surface (euro/m2);10. Jul
2021;1;Sant Andreu;el Bon Pastor;average rent per surface (euro/m2);10. Sep
2021;1;Sant Andreu;Sant Andreu;average rent per surface (euro/m2);11. Jul
2021;1;Sant Andreu;la Sagrera;average rent per surface (euro/m2);12. Jan
2021;1;Sant Andreu;el Congres i els Indians;average rent per surface (euro/m2);11. Jul
2021;1;Sant Andreu;Navas;average rent per surface (euro/m2);12. Feb
2021;1;Sant Marti;el Camp de l'Arpa del Clot;average rent per surface (euro/m2);12. Sep
2021;1;Sant Marti;el Clot;average rent per surface (euro/m2);13
2021;1;Sant Marti;el Parc i la Llacuna del Poblenou;average rent per surface (euro/m2);13. Mai
2021;1;Sant Marti;la Vila Olimpica del Poblenou;average rent per surface (euro/m2);17. Mär
2021;1;Sant Marti;el Poblenou;average rent per surface (euro/m2);14. Mär
2021;1;Sant Marti;Diagonal Mar i el Front Maritim del Poblenou;average rent per surface (euro/m2);15. Jan
2021;1;Sant Marti;el Besos i el Maresme;average rent per surface (euro/m2);11. Apr
2021;1;Sant Marti;Provencals del Poblenou;average rent per surface (euro/m2);13. Mai
2021;1;Sant Marti;Sant Mart√≠ide Provencals;average rent per surface (euro/m2);11. Mär
2021;1;Sant Marti;la Verneda i la Pau;average rent per surface (euro/m2);11. Jan
2021;2;Ciutat Vella;el Raval;average rent (euro/month);774.2
2021;2;Ciutat Vella;Gothic Quarter;average rent (euro/month);934.1
2021;2;Ciutat Vella;la Barceloneta;average rent (euro/month);814.8
2021;2;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;average rent (euro/month);862.1
2021;2;Eixample;Fort Pienc;average rent (euro/month);907.1
2021;2;Eixample;la Sagrada Familia;average rent (euro/month);887.4
2021;2;Eixample;la Dreta de l'Eixample;average rent (euro/month);1196.3
2021;2;Eixample;l'Antiga Esquerra de l'Eixample;average rent (euro/month);1070.1
2021;2;Eixample;la Nova Esquerra de l'Eixample;average rent (euro/month);953.3
2021;2;Eixample;Sant Antoni;average rent (euro/month);928.8
2021;2;Sants-Montjuic;el Poble Sec;average rent (euro/month);773.7
2021;2;Sants-Montjuic;la Marina de Port;average rent (euro/month);772.4
2021;2;Sants-Montjuic;la Font de la Guatlla;average rent (euro/month);810.8
2021;2;Sants-Montjuic;Hostafrancs;average rent (euro/month);772.8
2021;2;Sants-Montjuic;la Bordeta;average rent (euro/month);815.4
2021;2;Sants-Montjuic;Sants - Badal;average rent (euro/month);778.1
2021;2;Sants-Montjuic;Sants;average rent (euro/month);815.4
2021;2;Les Corts;les Corts;average rent (euro/month);998.8
2021;2;Les Corts;la Maternitat i Sant Ramon;average rent (euro/month);904.8
2021;2;Les Corts;Pedralbes;average rent (euro/month);1680.3
2021;2;Sarria-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;average rent (euro/month);1074.7
2021;2;Sarria-Sant Gervasi;Sarria;average rent (euro/month);1298
2021;2;Sarria-Sant Gervasi;les Tres Torres;average rent (euro/month);1429
2021;2;Sarria-Sant Gervasi;Sant Gervasi - la Bonanova;average rent (euro/month);1226.1
2021;2;Sarria-Sant Gervasi;Sant Gervasi - Galvany;average rent (euro/month);1339.1
2021;2;Sarria-Sant Gervasi;el Putxet i el Farro;average rent (euro/month);1024.4
2021;2;Gracia;Vallcarca i els Penitents;average rent (euro/month);924.5
2021;2;Gracia;el Coll;average rent (euro/month);796.8
2021;2;Gracia;la Salut;average rent (euro/month);859.2
2021;2;Gracia;la Vila de Gracia;average rent (euro/month);881
2021;2;Gracia;el Camp d'en Grassot i Gracia Nova;average rent (euro/month);880.1
2021;2;Horta-Guinardo;el Baix Guinardo;average rent (euro/month);820.2
2021;2;Horta-Guinardo;Can Baro;average rent (euro/month);773.5
2021;2;Horta-Guinardo;el Guinardo;average rent (euro/month);818.2
2021;2;Horta-Guinardo;la Font d'en Fargues;average rent (euro/month);817.7
2021;2;Horta-Guinardo;el Carmel;average rent (euro/month);667.6
2021;2;Horta-Guinardo;la Teixonera;average rent (euro/month);713.8
2021;2;Horta-Guinardo;Sant Genis dels Agudells;average rent (euro/month);653.5
2021;2;Horta-Guinardo;Montbau;average rent (euro/month);729.9
2021;2;Horta-Guinardo;la Vall d'Hebron;average rent (euro/month);884.2
2021;2;Horta-Guinardo;Horta;average rent (euro/month);734.9
2021;2;Nou Barris;Vilapicina i la Torre Llobeta;average rent (euro/month);754.4
2021;2;Nou Barris;Porta;average rent (euro/month);698.5
2021;2;Nou Barris;el Turo de la Peira;average rent (euro/month);671.8
