register_id;name;created;modified;addresses_road_name;addresses_start_street_number;neighbourhood_code;neighbourhood_name;district_code;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿75990173036;Bar musical Merbeyé;18.09.96 00:00;28.05.21 14:37;Pl Doctor Andreu;1;25;Sant Gervasi - la Bonanova;5;Sarrià-Sant Gervasi;8035;BARCELONA;4,27412E+16;4,58534E+15;4,14163E+15;2,13142E+16
﻿75990173036;Bar musical Merbeyé;18.09.96 00:00;28.05.21 14:37;Pl Doctor Andreu;1;25;Sant Gervasi - la Bonanova;5;Sarrià-Sant Gervasi;8035;BARCELONA;4,27412E+16;4,58534E+15;4,14163E+15;2,13142E+16
﻿99400319608;Le Pop Bar;06.06.13 00:00;17.09.22 07:55;la Rambla;111;1;el Raval;1;Ciutat Vella;8002;BARCELONA;4,30679E+16;4,58171E+15;4,13839E+16;2,17093E+15
﻿99400188606;Bar Musical Jazzman;03.08.07 10:52;17.09.22 06:50;C Roger de Flor;238;7;la Dreta de l'Eixample;2;Eixample;8025;BARCELONA;4,30562E+15;4,58366E+15;4,14015E+16;2,1693E+16
﻿99400467597;City Hall Barcelona;19.10.16 10:40;17.09.22 08:46;Rbla Catalunya;2;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,30476E+16;4,58213E+15;4,13877E+15;2,16844E+15
﻿99400467597;City Hall Barcelona;19.10.16 10:40;17.09.22 08:46;Rbla Catalunya;2;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,30476E+16;4,58213E+15;4,13877E+15;2,16844E+15
﻿99400155586;Cocteleria Paradiso;16.03.06 14:23;28.05.21 14:37;C Rere Palau;4;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31747E+16;4,58168E+15;4,13837E+15;2,18369E+15
﻿99400155586;Cocteleria Paradiso;16.03.06 14:23;28.05.21 14:37;C Rere Palau;4;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31747E+16;4,58168E+15;4,13837E+15;2,18369E+15
﻿99400596605;Bar Nevermind;05.07.18 10:20;28.05.21 14:38;C Tallers;68;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30306E+15;4,58184E+15;4,13851E+15;2,16645E+16
﻿99400596605;Bar Nevermind;05.07.18 10:20;28.05.21 14:38;C Tallers;68;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30306E+15;4,58184E+15;4,13851E+15;2,16645E+16
﻿99400596605;Bar Nevermind;05.07.18 10:20;28.05.21 14:38;C Tallers;68;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30306E+15;4,58184E+15;4,13851E+15;2,16645E+16
﻿99400596605;Bar Nevermind;05.07.18 10:20;28.05.21 14:38;C Tallers;68;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30306E+15;4,58184E+15;4,13851E+15;2,16645E+16
﻿99400596652;Bar L'Antic del Born;05.07.18 14:16;28.05.21 14:38;Pl Comercial;11;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31756E+16;4,58182E+15;4,1385E+16;2,18379E+16
﻿99400596652;Bar L'Antic del Born;05.07.18 14:16;28.05.21 14:38;Pl Comercial;11;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31756E+16;4,58182E+15;4,1385E+16;2,18379E+16
﻿99400689374;Bar musical karaoke A viva voz *Aribau;04.04.22 12:05;04.04.22 12:09;Carrer d'Aribau;103;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;Barcelona;429485772;4582433469;4,13903E+16;2,15657E+16
﻿99400689374;Bar musical karaoke A viva voz *Aribau;04.04.22 12:05;04.04.22 12:09;Carrer d'Aribau;103;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;Barcelona;429485772;4582433469;4,13903E+16;2,15657E+16
﻿99400593706;Gastrobar Origen;04.06.18 00:00;28.05.21 14:38;C Diputació;257;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,30281E+15;4,58237E+15;4,13898E+15;2,16608E+15
﻿99400593706;Gastrobar Origen;04.06.18 00:00;28.05.21 14:38;C Diputació;257;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,30281E+15;4,58237E+15;4,13898E+15;2,16608E+15
﻿99400685836;Cocteleria Popular Gopnik;11.02.22 11:12;11.02.22 11:17;Carrer de Vallfogona;23;31;la Vila de Gràcia;6;Gràcia;8012;Barcelona;429617031;4583895785;4,14035E+15;2,15797E+16
