register_id;name;created;modified;addresses_road_id;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿99400040512;CRAI - Biblioteca;19.05.03 12:01;17.09.22 06:02;181608;C Roc Boronat;138;;66;el Parc i la Llacuna del Poblenou;10;Sant Martí;8018;BARCELONA;4,32574E+15;4,5839E+15;4,14038E+16;2,19334E+16
﻿92086011117;Casal de Gent Gran de Sant Ildefons;21.02.85 00:00;08.06.22 13:27;196900;C Marià Cubí;111;;26;Sant Gervasi - Galvany;5;Sarrià-Sant Gervasi;8021;BARCELONA;4,28732E+15;4,58317E+15;4,13969E+15;2,14746E+15
﻿92086011126;Espai Social Barcelona Gràcia - Fundació Catalunya La Pedrera;21.02.85 00:00;17.09.22 04:16;148103;C Goya;1;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29494E+16;4,58342E+15;4,13992E+14;2,15656E+16
﻿92086011141;EspaiCaixa Sanllehí;21.02.85 00:00;17.09.22 04:16;351107;C Vallseca;2;;34;Can Baró;7;Horta-Guinardó;8024;BARCELONA;4,29916E+14;4,58508E+15;4,14142E+16;2,16141E+16
﻿99400076724;Jardins dels Drets Humans;15.03.04 12:30;23.11.22 12:39;137300;C Foneria;19;;13;la Marina de Port;3;Sants-Montjuïc;8038;BARCELONA;4,27793E+16;4,5792E+15;4,1361E+15;2,13671E+16
﻿92086002091;Auditòrium;28.04.86 00:00;17.09.22 03:50;144601;Av Diagonal;643;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,26406E+15;4,58199E+15;4,13861E+15;2,11979E+16
﻿75990288446;Casal de l'Estudiant;18.09.96 00:00;17.09.22 03:21;175208;C Junta de Comerç;26;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30753E+16;4,5812E+14;4,13793E+15;2,17186E+15
﻿92086002115;Biblioteca Montserrat Abelló;30.05.84 00:00;27.09.22 12:00;88001;Carrer dels Comtes de Bell-lloc;192;;19;les Corts;4;Les Corts;8014;Barcelona;4,27701E+15;4,58172E+15;4,13837E+15;2,13531E+16
﻿92086002115;Biblioteca Montserrat Abelló;30.05.84 00:00;27.09.22 12:00;88001;Carrer dels Comtes de Bell-lloc;192;;19;les Corts;4;Les Corts;8014;Barcelona;4,27701E+15;4,58172E+15;4,13837E+15;2,13531E+16
﻿92086009005;Biblioteca;16.05.86 00:00;23.12.21 14:08;246259;Parc de la Ciutadella;;;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;Barcelona;4,31996E+16;4,58217E+15;4,13882E+14;2,18661E+16
