register_id;name;created;modified;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿92086003106;Centre Artesà Tradicionàrius;30.05.84 00:00;11.03.22 14:25;Trvs Sant Antoni;6;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29344E+16;4,58379E+15;4,14025E+15;2,15471E+16
﻿92086003106;Centre Artesà Tradicionàrius;30.05.84 00:00;11.03.22 14:25;Trvs Sant Antoni;6;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29344E+16;4,58379E+15;4,14025E+15;2,15471E+16
﻿99202125322;Sala Xavier Fàbregas;21.07.99 00:00;17.09.22 05:53;C Terol;26;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29668E+16;4,58387E+15;4,14033E+16;2,15858E+16
﻿92086000451;Teatre;28.04.86 00:00;17.09.22 03:44;C Arc del Teatre;24;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,3089E+15;4,58095E+15;4,13771E+14;2,17353E+16
﻿75990089577;Teatre Lliure;18.09.96 00:00;22.11.22 12:38;Pl Margarida Xirgu;1;;11;el Poble-sec;3;Sants-Montjuïc;8004;BARCELONA;4,29538E+16;4,58025E+15;4,13707E+15;2,15745E+16
﻿92086010653;Teatre;22.04.86 00:00;17.09.22 04:14;C la Rambla;35;;1;el Raval;1;Ciutat Vella;8002;BARCELONA;4,30985E+15;4,58116E+15;4,1379E+15;2,17465E+16
﻿92086010684;Teatre;04.11.88 00:00;17.09.22 04:14;C Sant Antoni Abat;12;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30199E+15;4,58121E+15;4,13794E+15;2,16523E+16
﻿92086006075;Sala de Cinema;08.06.90 00:00;17.09.22 04:01;C Immaculada;25;;25;Sant Gervasi - la Bonanova;5;Sarrià-Sant Gervasi;8017;BARCELONA;4,26841E+15;4,5843E+15;4,14069E+15;2,1247E+15
﻿75990364693;Eixample Teatre;18.09.96 00:00;17.09.22 03:28;C Aragó;140;;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8011;BARCELONA;4,29437E+14;4,58189E+15;4,13854E+16;2,15605E+16
﻿99400327808;L'Àtic22;08.10.13 00:00;17.09.22 07:57;C Flors;22;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30374E+16;4,58083E+15;4,1376E+15;2,16738E+15
﻿75990094613;Teatre Borràs;18.09.96 00:00;17.09.22 02:57;Pl Urquinaona;9;;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8010;BARCELONA;4,3091E+16;4,58226E+15;4,13889E+15;2,17362E+16
﻿99400239026;Teatre de Sarriá;12.01.10 00:00;17.09.22 07:18;C Pare Miquel de Sarrià;8;;23;Sarrià;5;Sarrià-Sant Gervasi;8034;BARCELONA;4,26493E+14;4,58355E+15;4,14001E+15;2,12063E+16
﻿75990172785;Teatre Goya;18.09.96 00:00;17.09.22 03:11;C Joaquín Costa;68;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30158E+16;4,58175E+15;4,13842E+16;2,16469E+16
﻿92086000171;Teatre;14.09.88 00:00;17.09.22 03:44;Av Miramar;1;;11;el Poble-sec;3;Sants-Montjuïc;8038;BARCELONA;4,29762E+16;4,57998E+15;4,13683E+15;2,16015E+16
﻿99400242299;Teatre Akadèmia;01.03.10 16:48;21.09.22 14:37;C Buenos Aires;47;;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;BARCELONA;4,28713E+15;4,58271E+14;4,13927E+15;2,14729E+16
﻿95122123236;Glòries Multicines;02.05.95 00:00;20.07.21 10:51;Avinguda Diagonal;208;;66;el Parc i la Llacuna del Poblenou;10;Sant Martí;8018;Barcelona;4,32507E+14;4,58403E+15;4,1405E+15;2,19252E+16
﻿99113100133;Teatre Zona Nord;23.04.99 00:00;21.10.22 07:53;C Vallcivera;14;;55;Ciutat Meridiana;8;Nou Barris;8033;BARCELONA;4,31382E+15;4,59023E+15;4,14607E+15;2,17837E+16
