year;district_code;district_name;neighbourhood_code;neighbourhood_name;Sex;nationality;number
2022;7;Horta-Guinardó;42;la Clota;Women;Apàtrides/No consta;0
2022;7;Horta-Guinardó;43;Horta;Women;Apàtrides/No consta;1
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Women;Apàtrides/No consta;0
2022;8;Nou Barris;45;Porta;Women;Apàtrides/No consta;2
2022;8;Nou Barris;46;el Turó de la Peira;Women;Apàtrides/No consta;2
2022;8;Nou Barris;47;Can Peguera;Women;Apàtrides/No consta;0
2022;8;Nou Barris;48;la Guineueta;Women;Apàtrides/No consta;1
2022;8;Nou Barris;49;Canyelles;Women;Apàtrides/No consta;0
2022;8;Nou Barris;50;les Roquetes;Women;Apàtrides/No consta;0
2022;8;Nou Barris;51;Verdun;Women;Apàtrides/No consta;0
2022;8;Nou Barris;52;la Prosperitat;Women;Apàtrides/No consta;2
2022;8;Nou Barris;53;la Trinitat Nova;Women;Apàtrides/No consta;0
2022;8;Nou Barris;54;Torre Baró;Women;Apàtrides/No consta;0
2022;8;Nou Barris;55;Ciutat Meridiana;Women;Apàtrides/No consta;0
2022;8;Nou Barris;56;Vallbona;Women;Apàtrides/No consta;1
2022;9;Sant Andreu;57;la Trinitat Vella;Women;Apàtrides/No consta;0
2022;9;Sant Andreu;58;Baró de Viver;Women;Apàtrides/No consta;0
2022;9;Sant Andreu;59;el Bon Pastor;Women;Apàtrides/No consta;0
2022;9;Sant Andreu;60;Sant Andreu;Women;Apàtrides/No consta;1
2022;9;Sant Andreu;61;la Sagrera;Women;Apàtrides/No consta;3
2022;9;Sant Andreu;62;el Congrés i els Indians;Women;Apàtrides/No consta;2
2022;9;Sant Andreu;63;Navas;Women;Apàtrides/No consta;2
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;Women;Apàtrides/No consta;5
2022;10;Sant Martí;65;el Clot;Women;Apàtrides/No consta;3
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Women;Apàtrides/No consta;2
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;Women;Apàtrides/No consta;2
2022;10;Sant Martí;68;el Poblenou;Women;Apàtrides/No consta;4
